Pincode,MMI State,latitude,longitude
533223,Andhra Pradesh,16.7126,81.8898
533274,Andhra Pradesh,16.672,81.8479
533254,Andhra Pradesh,16.4235,81.837
533253,Andhra Pradesh,16.4404,81.795
533250,Andhra Pradesh,16.3887,81.835
533244,Andhra Pradesh,16.4277,81.8686
533247,Andhra Pradesh,16.5056,81.9285
533249,Andhra Pradesh,16.5123,81.8709
533248,Andhra Pradesh,16.4447,81.9208
533340,Andhra Pradesh,16.8703,81.9193
533308,Andhra Pradesh,16.8274,81.9449
533240,Andhra Pradesh,16.5794,81.8885
533238,Andhra Pradesh,16.745,81.8545
533242,Andhra Pradesh,16.4808,81.8352
533251,Andhra Pradesh,16.4154,81.7419
533252,Andhra Pradesh,16.3643,81.7736
521121,Andhra Pradesh,16.0111,80.9268
521122,Andhra Pradesh,16.0153,80.9736
521125,Andhra Pradesh,16.0661,80.9266
521324,Andhra Pradesh,16.3702,81.3314
521369,Andhra Pradesh,16.3014,81.1894
521106,Andhra Pradesh,16.5649,80.9635
521110,Andhra Pradesh,16.6505,80.9073
521126,Andhra Pradesh,16.1183,80.9178
521132,Andhra Pradesh,16.1731,80.8796
521131,Andhra Pradesh,16.1273,80.99
521101,Andhra Pradesh,16.5735,80.7886
521286,Andhra Pradesh,16.5768,80.8421
521102,Andhra Pradesh,16.524,80.7768
521107,Andhra Pradesh,16.5495,80.7155
521133,Andhra Pradesh,16.1758,80.9274
521150,Andhra Pradesh,16.1934,80.9755
521322,Andhra Pradesh,16.3837,80.97
521301,Andhra Pradesh,16.4248,80.9809
521148,Andhra Pradesh,16.3761,80.9238
521330,Andhra Pradesh,16.3784,81.0166
521327,Andhra Pradesh,16.4904,81.0305
521331,Andhra Pradesh,16.291,81.0871
521356,Andhra Pradesh,16.3329,81.0385
521332,Andhra Pradesh,16.2966,81.0317
521366,Andhra Pradesh,16.2814,81.1243
521162,Andhra Pradesh,16.1681,81.0348
521149,Andhra Pradesh,16.2213,81.0618
521156,Andhra Pradesh,16.2417,81.0189
521151,Andhra Pradesh,16.4344,80.7598
521245,Andhra Pradesh,16.4004,80.813
521260,Andhra Pradesh,16.47,80.8315
521153,Andhra Pradesh,16.4419,80.7958
521104,Andhra Pradesh,16.508,80.7422
521328,Andhra Pradesh,15.9498,81.0296
521130,Andhra Pradesh,16.0708,80.97
521002,Andhra Pradesh,16.0421,81.1263
521001,Andhra Pradesh,16.2219,81.193
521003,Andhra Pradesh,16.1099,81.0847
521158,Andhra Pradesh,16.2617,80.9815
521138,Andhra Pradesh,16.2707,80.916
521250,Andhra Pradesh,16.2635,80.8763
521136,Andhra Pradesh,16.2364,80.9326
521135,Andhra Pradesh,16.2154,80.9055
521120,Andhra Pradesh,15.8208,80.926
521312,Andhra Pradesh,16.5119,80.8896
521321,Andhra Pradesh,16.5137,80.9964
521390,Andhra Pradesh,16.345,80.9462
521157,Andhra Pradesh,16.31,80.9501
521246,Andhra Pradesh,16.3141,80.8582
521247,Andhra Pradesh,16.2607,80.8392
521165,Andhra Pradesh,16.339,80.8185
521256,Andhra Pradesh,16.359,80.8752
521261,Andhra Pradesh,16.4028,80.8966
521263,Andhra Pradesh,16.436,80.9255
521139,Andhra Pradesh,16.4419,80.7091
521134,Andhra Pradesh,16.4682,80.696
521163,Andhra Pradesh,16.3406,80.7857
521311,Andhra Pradesh,16.4763,80.8875
521164,Andhra Pradesh,16.403,80.8547
518347,Andhra Pradesh,15.4876,77.3708
518308,Andhra Pradesh,15.5809,77.1123
518302,Andhra Pradesh,15.6004,77.2406
518350,Andhra Pradesh,15.6316,77.4571
518323,Andhra Pradesh,15.7012,77.3596
518344,Andhra Pradesh,15.7468,77.1449
518301,Andhra Pradesh,15.6137,77.2696
518395,Andhra Pradesh,15.3975,77.2546
518465,Andhra Pradesh,15.5596,77.5616
518462,Andhra Pradesh,15.8224,77.7078
518466,Andhra Pradesh,15.8234,77.8244
518396,Andhra Pradesh,15.2298,77.2889
518385,Andhra Pradesh,15.27,77.4463
518225,Andhra Pradesh,15.5398,77.7337
518468,Andhra Pradesh,15.4094,77.6378
518463,Andhra Pradesh,15.7063,77.6294
518464,Andhra Pradesh,15.7134,77.7892
518467,Andhra Pradesh,15.7169,77.8869
518348,Andhra Pradesh,15.2858,77.1554
518346,Andhra Pradesh,15.4573,77.0706
518218,Andhra Pradesh,15.6851,77.978
518002,Andhra Pradesh,15.6882,78.077
518003,Andhra Pradesh,15.806,78.0053
518349,Andhra Pradesh,15.8426,77.3364
518313,Andhra Pradesh,15.8917,77.2486
518333,Andhra Pradesh,15.8625,77.1179
518222,Andhra Pradesh,15.3982,77.874
518216,Andhra Pradesh,15.5225,77.914
518007,Andhra Pradesh,15.7666,78.0634
518004,Andhra Pradesh,15.8627,77.974
518452,Andhra Pradesh,15.7659,78.1596
518432,Andhra Pradesh,15.8304,78.1907
518001,Andhra Pradesh,15.8286,78.0502
518380,Andhra Pradesh,15.3976,77.5118
518390,Andhra Pradesh,15.2619,77.6079
518345,Andhra Pradesh,15.9062,77.4464
518360,Andhra Pradesh,15.784,77.499
518343,Andhra Pradesh,15.8693,77.5452
518010,Andhra Pradesh,15.6403,78.2006
518405,Andhra Pradesh,15.7504,78.3059
518221,Andhra Pradesh,15.2687,77.7502
518217,Andhra Pradesh,15.5779,78.0312
518543,Andhra Pradesh,15.1072,78.5753
518510,Andhra Pradesh,15.2103,78.4838
518135,Andhra Pradesh,15.2034,78.419
